country,composite_v2,vol_std,vol_std_floored,risk_adj_score,rank_composite,rank_risk_adj,rank_shift,tier_v2
United States,0.7937445619999999,0.02238556799515251,0.02238556799515251,35.4579,3,1,2,High
Austria,0.72563766,0.021746662277734585,0.021746662277734585,33.3678,5,2,3,High
Denmark,0.7940546299999999,0.024203002575776546,0.024203002575776546,32.8081,2,3,-1,High
Germany,0.7656808199999999,0.023481405941960527,0.023481405941960527,32.608,4,4,0,High
Portugal,0.642961242,0.022485939161796552,0.022485939161796552,28.5939,12,5,7,High
Netherlands,0.810211956,0.03053962967716312,0.03053962967716312,26.5299,1,6,-5,High
Spain,0.6675417059999998,0.02543825594400928,0.02543825594400928,26.2416,7,7,0,High
Czech Republic,0.6784164979999999,0.026197787904415425,0.026197787904415425,25.8959,6,8,-2,High
Malaysia,0.6603994899999999,0.029137411312105656,0.029137411312105656,22.665,8,9,-1,High
Bangladesh,0.3436564219999999,0.017434854214090724,0.017434854214090724,19.7109,193,10,183,Medium
Japan,0.64188927,0.044224772171591535,0.044224772171591535,14.5142,13,11,2,High
Serbia,0.5721783819999999,0.04259070339571499,0.04259070339571499,13.4343,40,12,28,High
Mauritius,0.621550434,0.048298934096629755,0.048298934096629755,12.8688,14,13,1,High
Belarus,0.5864685319999999,0.045959433523156464,0.045959433523156464,12.7606,27,14,13,High
Ireland,0.6565539,0.052768842370568565,0.052768842370568565,12.4421,9,15,-6,High
Andorra,0.559725618,0.04617071972588721,0.04617071972588721,12.123,68,16,52,High
Luxembourg,0.58596015,0.048903959633347545,0.048903959633347545,11.9819,28,17,11,High
Singapore,0.61990899,0.05482123122973207,0.05482123122973207,11.3078,15,18,-3,High
Paraguay,0.613719876,0.05628574303762199,0.05628574303762199,10.9036,17,19,-2,High
Brunei Darussalam,0.565846644,0.05424881714651923,0.05424881714651923,10.4306,51,20,31,High
France,0.5958531979999999,0.0573245946333151,0.0573245946333151,10.3944,20,21,-1,High
Puerto Rico,0.5784413439999999,0.05608602355056536,0.05608602355056536,10.3135,34,22,12,High
"Korea, Rep.",0.5902681120000001,0.05734524899837494,0.05734524899837494,10.2932,25,23,2,High
"Hong Kong SAR, China",0.591353846,0.05757942251997197,0.05757942251997197,10.2702,23,24,-1,High
India,0.593947594,0.057970882672088095,0.057970882672088095,10.2456,21,25,-4,High
Switzerland,0.602226584,0.058978207732508746,0.058978207732508746,10.211,18,26,-8,High
Viet Nam,0.5924301599999999,0.0580759424592401,0.0580759424592401,10.201,22,27,-5,High
Greece,0.5551073139999999,0.0546922130975876,0.0546922130975876,10.1497,80,28,52,High
Hungary,0.574661172,0.05677524913034983,0.05677524913034983,10.1217,37,29,8,High
Italy,0.579761958,0.05761117616517212,0.05761117616517212,10.0634,33,30,3,High
Honduras,0.5680331519999999,0.05654061729985829,0.05654061729985829,10.0465,48,31,17,High
Cyprus,0.5689278179999999,0.056801561601258495,0.056801561601258495,10.0161,46,32,14,High
United Arab Emirates,0.575763072,0.05748434492231444,0.05748434492231444,10.016,36,33,3,High
Russian Federation,0.574568404,0.057439904537111224,0.057439904537111224,10.0029,39,34,5,High
Canada,0.580121236,0.05800536359855361,0.05800536359855361,10.0012,32,35,-3,High
Czechia,0.581882968,0.05834183592522077,0.05834183592522077,9.9737,29,36,-7,High
New Zealand,0.568901114,0.05712805939184917,0.05712805939184917,9.9583,47,37,10,High
Australia,0.581395808,0.05843033874190628,0.05843033874190628,9.9502,30,38,-8,High
Croatia,0.5589415579999999,0.05622228340404452,0.05622228340404452,9.9416,71,39,32,High
Slovenia,0.5721582719999999,0.057794028383802806,0.057794028383802806,9.9,41,40,1,High
Latvia,0.5641699299999999,0.057063005168502226,0.057063005168502226,9.8868,53,41,12,High
"Bahamas, The",0.5428318639999999,0.05512495920112851,0.05512495920112851,9.8473,147,42,105,High
El Salvador,0.562421398,0.05713430785674563,0.05713430785674563,9.8438,56,43,13,High
Cambodia,0.598607892,0.0608208922038753,0.0608208922038753,9.8421,19,44,-25,High
Tonga,0.5600594419999999,0.05690711891175204,0.05690711891175204,9.8416,65,45,20,High
Norway,0.561529072,0.05706149870867122,0.05706149870867122,9.8408,61,46,15,High
Poland,0.56938079,0.05791363327915473,0.05791363327915473,9.8316,44,47,-3,High
Israel,0.5615928779999999,0.05713759801062282,0.05713759801062282,9.8288,60,48,12,High
Costa Rica,0.564093176,0.05741010367839578,0.05741010367839578,9.8257,54,49,5,High
Cayman Islands,0.5425331819999999,0.0553434516575758,0.0553434516575758,9.803,150,50,100,High
Ukraine,0.55251217,0.056408632204448216,0.056408632204448216,9.7948,89,51,38,High
Kuwait,0.547946218,0.05596132044087585,0.05596132044087585,9.7915,111,52,59,High
Sub-Saharan Africa,0.557461494,0.05697751892096255,0.05697751892096255,9.7839,76,53,23,High
Sweden,0.567028462,0.05796577316954617,0.05796577316954617,9.7821,49,54,-5,High
Slovak Republic,0.565797016,0.057927558643713156,0.057927558643713156,9.7673,52,55,-3,High
Lithuania,0.561470174,0.05755438290286544,0.05755438290286544,9.7555,62,56,6,High
Nepal,0.561929298,0.05762385598279788,0.05762385598279788,9.7517,59,57,2,High
Argentina,0.576744894,0.05927601302171071,0.05927601302171071,9.7298,35,58,-23,High
Barbados,0.552731872,0.0569072641751313,0.0569072641751313,9.7129,88,59,29,High
Somalia,0.5542911379999999,0.057093946238354586,0.057093946238354586,9.7084,84,60,24,High
New Caledonia,0.5584614779999999,0.05753081692607961,0.05753081692607961,9.7072,73,61,12,High
"Iran, Islamic Rep.",0.5902930639999999,0.06081387602555066,0.06081387602555066,9.7066,24,62,-38,High
Jamaica,0.549660124,0.05663896196938978,0.05663896196938978,9.7046,101,63,38,High
Panama,0.554588168,0.05715124203036046,0.05715124203036046,9.7039,82,64,18,High
Central African Republic,0.539186364,0.055610494612056555,0.055610494612056555,9.6958,164,65,99,High
Marshall Islands,0.5581930759999999,0.057707592795823964,0.057707592795823964,9.6728,74,66,8,High
Nauru,0.559839448,0.05788358645284325,0.05788358645284325,9.6718,67,67,0,High
Mongolia,0.55692164,0.05758375831716592,0.05758375831716592,9.6715,77,68,9,High
Indonesia,0.546828564,0.056549025723291645,0.056549025723291645,9.67,123,69,54,High
Bermuda,0.545254874,0.056405451892281196,0.056405451892281196,9.6667,135,70,65,High
South Sudan,0.5256916759999999,0.054390583718061575,0.054390583718061575,9.6651,181,71,110,High
Georgia,0.5703994259999999,0.059043124826546764,0.059043124826546764,9.6607,42,72,-30,High
Finland,0.56031603,0.05804950262405798,0.05804950262405798,9.6524,64,73,-9,High
Armenia,0.566155008,0.05871015867204795,0.05871015867204795,9.6432,50,74,-24,High
Bhutan,0.5593281,0.058014114446610206,0.058014114446610206,9.6412,70,75,-5,High
Trinidad and Tobago,0.5542935659999999,0.05766689037259835,0.05766689037259835,9.612,83,76,7,High
Turkmenistan,0.5534617039999999,0.057583846296446015,0.057583846296446015,9.6114,86,77,9,High
Tuvalu,0.5568434579999999,0.05795482274530316,0.05795482274530316,9.6082,78,78,0,High
"Taiwan, China",0.55304105,0.05756517433864461,0.05756517433864461,9.6072,87,79,8,High
Djibouti,0.54864896,0.05711635964186204,0.05711635964186204,9.6058,107,80,27,High
St. Kitts and Nevis,0.5503943259999999,0.057305867079070726,0.057305867079070726,9.6045,99,81,18,High
Bolivia,0.540020098,0.056260735864368826,0.056260735864368826,9.5985,158,82,76,High
Tajikistan,0.569039122,0.05931254863456891,0.05931254863456891,9.5939,45,83,-38,High
Seychelles,0.533522376,0.055610761551432124,0.055610761551432124,9.5939,173,83,90,High
Kyrgyz Republic,0.563854188,0.05882186587103045,0.05882186587103045,9.5858,55,85,-30,High
Qatar,0.5519188639999999,0.05762985740100637,0.05762985740100637,9.577,91,86,5,High
Belgium,0.569550362,0.059477125925927306,0.059477125925927306,9.576,43,87,-44,High
Afghanistan,0.5463076979999999,0.057052902547686905,0.057052902547686905,9.5755,129,88,41,High
Faroe Islands,0.548750214,0.057456361317056975,0.057456361317056975,9.5507,106,89,17,High
"Micronesia, Fed. Sts.",0.547218416,0.05732043318566609,0.05732043318566609,9.5467,113,90,23,High
"Macao SAR, China",0.5503059119999999,0.05765281786146562,0.05765281786146562,9.5452,100,91,9,High
Sri Lanka,0.5507809399999999,0.05774078977080978,0.05774078977080978,9.5389,96,92,4,High
Fiji,0.555705236,0.05829154398267032,0.05829154398267032,9.5332,79,93,-14,High
Palau,0.5546271079999999,0.058187710195673994,0.058187710195673994,9.5317,81,94,-13,High
Uruguay,0.5495815039999999,0.057669214770135195,0.057669214770135195,9.5299,102,95,7,High
Virgin Islands (U.S.),0.5488758999999999,0.05760895271944082,0.05760895271944082,9.5276,105,96,9,High
Turkiye,0.58711129,0.06164836819340422,0.06164836819340422,9.5235,26,97,-71,High
Madagascar,0.54447344,0.05722782686986664,0.05722782686986664,9.5141,141,98,43,High
Samoa,0.551502858,0.05800058638574253,0.05800058638574253,9.5086,92,99,-7,High
Suriname,0.5508820339999999,0.057956957423702805,0.057956957423702805,9.505,94,100,-6,High
Aruba,0.54495233,0.05736778590148845,0.05736778590148845,9.4993,137,101,36,High
Pakistan,0.547314878,0.05761804779463346,0.05761804779463346,9.499,112,102,10,High
Maldives,0.5366512199999999,0.05650274443782624,0.05650274443782624,9.4978,167,103,64,High
British Virgin Islands,0.5471588999999999,0.05762242963404517,0.05762242963404517,9.4956,114,104,10,High
Montenegro,0.546885874,0.05759572255463852,0.05759572255463852,9.4953,122,105,17,High
Sudan,0.5412659019999999,0.05700633636918565,0.05700633636918565,9.4948,156,106,50,High
Gibraltar,0.5470196999999999,0.05762242963404517,0.05762242963404517,9.4932,116,107,9,High
St. Martin (French part),0.5470154999999999,0.05762242963404517,0.05762242963404517,9.4931,117,108,9,High
Anguilla,0.546974948,0.05763338720576894,0.05763338720576894,9.4906,118,109,9,High
Niue,0.54696771,0.05763336855155485,0.05763336855155485,9.4905,120,110,10,High
Montserrat,0.546969684,0.057633397179297316,0.057633397179297316,9.4905,119,110,9,High
Brazil,0.5746443219999999,0.06060546625524938,0.06060546625524938,9.4817,38,112,-74,High
Eswatini,0.55963374,0.059108470844944035,0.059108470844944035,9.4679,69,113,-44,High
Timor-Leste,0.5393648999999999,0.05696826175515234,0.05696826175515234,9.4678,161,114,47,High
Curacao,0.546435028,0.05773480814489568,0.05773480814489568,9.4646,127,115,12,High
"Venezuela, RB",0.54666954,0.05782330695521436,0.05782330695521436,9.4541,125,116,9,High
Northern Mariana Islands,0.5463921999999999,0.05781832710179692,0.05781832710179692,9.4502,128,117,11,High
Gabon,0.5504602719999999,0.05834520909635101,0.05834520909635101,9.4345,98,118,-20,High
Iraq,0.5588271499999999,0.05926100649934593,0.05926100649934593,9.4299,72,119,-47,High
Bulgaria,0.540323626,0.05730583661738644,0.05730583661738644,9.4288,157,120,37,High
Lesotho,0.544032368,0.05771749137197602,0.05771749137197602,9.4258,145,121,24,High
Guinea,0.5358647799999999,0.056857493904959214,0.056857493904959214,9.4247,169,122,47,High
Iceland,0.542462474,0.05757810709711093,0.05757810709711093,9.4213,151,123,28,High
Guam,0.5452146999999999,0.05788515821847486,0.05788515821847486,9.4189,136,124,12,High
"Congo, Rep.",0.539261664,0.057264464022438094,0.057264464022438094,9.417,162,125,37,High
Namibia,0.5481942679999999,0.05821885495659476,0.05821885495659476,9.4161,110,126,-16,High
Saudi Arabia,0.5460866939999999,0.05800843980765192,0.05800843980765192,9.4139,130,127,3,High
Lao PDR,0.550621456,0.058568421014112096,0.058568421014112096,9.4013,97,128,-31,High
Romania,0.545642568,0.05804655851870342,0.05804655851870342,9.4001,134,129,5,High
Dominica,0.5456858499999999,0.05806916502158044,0.05806916502158044,9.3972,133,130,3,High
Cabo Verde,0.5392237879999999,0.05738457996665237,0.05738457996665237,9.3967,163,131,32,High
Vanuatu,0.552229686,0.05884177487792788,0.05884177487792788,9.385,90,132,-42,High
Nicaragua,0.5446209479999999,0.058067292276372764,0.058067292276372764,9.3791,140,133,7,High
Peru,0.529620598,0.05647760302718746,0.05647760302718746,9.3775,175,134,41,High
Guyana,0.5440995319999999,0.058029690505835944,0.058029690505835944,9.3762,144,135,9,High
Solomon Islands,0.5469221299999999,0.058420748567711775,0.058420748567711775,9.3618,121,136,-15,High
Uzbekistan,0.5579406859999999,0.05976739481188078,0.05976739481188078,9.3352,75,137,-62,High
St. Vincent and the Grenadines,0.546642664,0.05856432997572674,0.05856432997572674,9.3341,126,138,-12,High
Morocco,0.5621769719999999,0.0602702703701807,0.0602702703701807,9.3276,58,139,-81,High
Botswana,0.5484845859999999,0.05880726715602614,0.05880726715602614,9.3268,108,140,-32,High
Myanmar,0.5441950619999999,0.058412549373496464,0.058412549373496464,9.3164,143,141,2,High
Bahrain,0.561024232,0.06027800159963838,0.06027800159963838,9.3073,63,142,-79,High
"Congo, Dem. Rep.",0.534403528,0.05754795857206659,0.05754795857206659,9.2862,170,143,27,High
Turks and Caicos Islands,0.541943204,0.05838868179330702,0.05838868179330702,9.2816,153,144,9,High
Nigeria,0.5384648539999999,0.05802126612959194,0.05802126612959194,9.2805,165,145,20,High
Ghana,0.544934252,0.05879011967292658,0.05879011967292658,9.2691,138,146,-8,High
Moldova,0.5343072079999999,0.057650675371507296,0.057650675371507296,9.268,171,147,24,High
"Korea, Dem. People's Rep.",0.5377043259999998,0.0580514546776748,0.0580514546776748,9.2625,166,148,18,High
Papua New Guinea,0.5277305819999999,0.057022632713976534,0.057022632713976534,9.2548,178,149,29,High
Kenya,0.54442653,0.058844195736753604,0.058844195736753604,9.252,142,150,-8,High
Isle of Man,0.5396479999999999,0.05837919862699564,0.05837919862699564,9.2438,160,151,9,High
Kiribati,0.5494672599999999,0.059677178850596806,0.059677178850596806,9.2073,103,152,-49,High
Cuba,0.5422092999999999,0.058928078820909946,0.058928078820909946,9.2012,152,153,-1,High
Haiti,0.5414034759999999,0.058876562720258915,0.058876562720258915,9.1956,155,154,1,High
Uganda,0.5363228,0.058345140161099165,0.058345140161099165,9.1922,168,155,13,High
Equatorial Guinea,0.5434556279999999,0.05912602621237714,0.05912602621237714,9.1915,146,156,-10,High
"Yemen, Rep.",0.5483968779999999,0.05966353738805051,0.05966353738805051,9.1915,109,156,-47,High
Tunisia,0.5810878239999999,0.06324642599170535,0.06324642599170535,9.1877,31,158,-127,High
French Polynesia,0.547088692,0.05960632624665948,0.05960632624665948,9.1784,115,159,-44,High
Chile,0.541824034,0.0591917127586432,0.0591917127586432,9.1537,154,160,-6,High
American Samoa,0.5493501219999999,0.06006541027481285,0.06006541027481285,9.1459,104,161,-57,High
Greenland,0.5425794999999999,0.05938949364126949,0.05938949364126949,9.136,148,162,-14,High
Rwanda,0.545720368,0.0598513714813828,0.0598513714813828,9.1179,132,163,-31,High
Oman,0.55417142,0.06078990703997029,0.06078990703997029,9.1162,85,164,-79,High
Burkina Faso,0.5225006959999999,0.057369555417435894,0.057369555417435894,9.1076,185,165,20,High
Zambia,0.5314587019999999,0.05851825221541013,0.05851825221541013,9.0819,174,166,8,High
"Egypt, Arab Rep.",0.546709492,0.0602215276343835,0.0602215276343835,9.0783,124,167,-43,High
Kazakhstan,0.5237887459999999,0.05771834281971176,0.05771834281971176,9.0749,184,168,16,High
Mozambique,0.5275220639999999,0.05828099027524882,0.05828099027524882,9.0514,179,169,10,High
Mali,0.5211887199999999,0.057724708884619884,0.057724708884619884,9.0289,186,170,16,High
Sao Tome and Principe,0.526095052,0.058295135754727945,0.058295135754727945,9.0247,180,171,9,High
Sint Maarten (Dutch part),0.5425644579999999,0.06015344213760103,0.06015344213760103,9.0197,149,172,-23,High
Angola,0.5210092059999999,0.057828230067184565,0.057828230067184565,9.0096,187,173,14,High
Cameroon,0.52853554,0.05880171218709476,0.05880171218709476,8.9884,177,174,3,High
Lebanon,0.56234462,0.06263467376818692,0.06263467376818692,8.9782,57,175,-118,High
Cote d'Ivoire,0.52958469,0.05910998196616233,0.05910998196616233,8.9593,176,176,0,High
Syrian Arab Republic,0.5342457499999999,0.0596765626029233,0.0596765626029233,8.9524,172,177,-5,High
Chad,0.525178368,0.058936101300434855,0.058936101300434855,8.911,182,178,4,High
Liberia,0.525081374,0.06052307501424709,0.06052307501424709,8.6757,183,179,4,High
Libya,0.551280534,0.06363423352691355,0.06363423352691355,8.6633,93,180,-87,High
Zimbabwe,0.5459225879999999,0.06341031716842258,0.06341031716842258,8.6094,131,181,-50,High
Burundi,0.5193157979999999,0.06040410071432603,0.06040410071432603,8.5974,188,182,6,High
North Macedonia,0.5599142559999999,0.06972704209280335,0.06972704209280335,8.0301,66,183,-117,High
Azerbaijan,0.4642212799999999,0.05797669842637667,0.05797669842637667,8.007,191,184,7,High
United Kingdom,0.447971242,0.05807354208610851,0.05807354208610851,7.7139,192,185,7,High
South Africa,0.5447941059999999,0.07103049122919625,0.07103049122919625,7.6699,139,186,-47,High
China,0.645862172,0.08588079193226092,0.08588079193226092,7.5204,11,187,-176,High
Colombia,0.614716144,0.09378951330461095,0.09378951330461095,6.5542,16,188,-172,High
Ecuador,0.649573588,0.10847297378966135,0.10847297378966135,5.9883,10,189,-179,High
Mexico,0.539852546,0.10144863438288067,0.10144863438288067,5.3214,159,190,-31,High
Malawi,0.504536616,0.0953316641714461,0.0953316641714461,5.2924,190,191,-1,High
Philippines,0.5508135759999999,0.12856045240603783,0.12856045240603783,4.2845,95,192,-97,High
West Bank and Gaza,0.513092508,0.13785938040134416,0.13785938040134416,3.7219,189,193,-4,High
Thailand,0.292440946,0.1454993079450814,0.1454993079450814,2.0099,194,194,0,Medium
